<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180823,125000,106177.643913
RIZ8 [SPBFUT],5,20180823,125500,106163.512341
RIZ8 [SPBFUT],5,20180823,130000,106150.362046
RIZ8 [SPBFUT],5,20180823,130500,106136.129934
RIZ8 [SPBFUT],5,20180823,131000,106121.931279
RIZ8 [SPBFUT],5,20180823,131500,106113.457514
RIZ8 [SPBFUT],5,20180823,132000,106108.608047
RIZ8 [SPBFUT],5,20180823,132500,106103.164505
RIZ8 [SPBFUT],5,20180823,133000,106096.973482
RIZ8 [SPBFUT],5,20180823,133500,106089.724679
RIZ8 [SPBFUT],5,20180823,134000,106084.509465
RIZ8 [SPBFUT],5,20180823,134500,106083.367097
RIZ8 [SPBFUT],5,20180823,135000,106083.577634
RIZ8 [SPBFUT],5,20180823,135500,106081.810222
RIZ8 [SPBFUT],5,20180823,140500,106081.558758
RIZ8 [SPBFUT],5,20180823,141000,106079.886356
RIZ8 [SPBFUT],5,20180823,141500,106078.701484
RIZ8 [SPBFUT],5,20180823,142000,106078.079338
RIZ8 [SPBFUT],5,20180823,142500,106076.829699
RIZ8 [SPBFUT],5,20180823,143000,106077.012863
RIZ8 [SPBFUT],5,20180823,143500,106079.170864
RIZ8 [SPBFUT],5,20180823,144000,106080.837498
RIZ8 [SPBFUT],5,20180823,144500,106081.858545
RIZ8 [SPBFUT],5,20180823,145000,106081.527648
RIZ8 [SPBFUT],5,20180823,145500,106081.515572
RIZ8 [SPBFUT],5,20180823,150000,106079.764460
RIZ8 [SPBFUT],5,20180823,150500,106076.050907
RIZ8 [SPBFUT],5,20180823,151000,106074.026789
RIZ8 [SPBFUT],5,20180823,151500,106072.255827
RIZ8 [SPBFUT],5,20180823,152000,106070.973172
RIZ8 [SPBFUT],5,20180823,152500,106068.910143
RIZ8 [SPBFUT],5,20180823,153000,106066.942474
RIZ8 [SPBFUT],5,20180823,153500,106065.543719
RIZ8 [SPBFUT],5,20180823,154000,106065.578947
RIZ8 [SPBFUT],5,20180823,154500,106065.771998
RIZ8 [SPBFUT],5,20180823,155000,106065.647319
RIZ8 [SPBFUT],5,20180823,155500,106067.816114
RIZ8 [SPBFUT],5,20180823,160000,106070.916382
RIZ8 [SPBFUT],5,20180823,160500,106072.411114
RIZ8 [SPBFUT],5,20180823,161000,106073.261619
RIZ8 [SPBFUT],5,20180823,161500,106074.026350
RIZ8 [SPBFUT],5,20180823,162000,106075.101240
RIZ8 [SPBFUT],5,20180823,162500,106075.930479
RIZ8 [SPBFUT],5,20180823,163000,106074.539725
RIZ8 [SPBFUT],5,20180823,163500,106073.950478
RIZ8 [SPBFUT],5,20180823,164000,106073.603043
RIZ8 [SPBFUT],5,20180823,164500,106072.388790
RIZ8 [SPBFUT],5,20180823,165000,106071.895598
RIZ8 [SPBFUT],5,20180823,165500,106069.746226
RIZ8 [SPBFUT],5,20180823,170000,106065.558508
RIZ8 [SPBFUT],5,20180823,170500,106058.637097
RIZ8 [SPBFUT],5,20180823,171000,106051.770401
RIZ8 [SPBFUT],5,20180823,171500,106043.535062
RIZ8 [SPBFUT],5,20180823,172000,106034.732413
RIZ8 [SPBFUT],5,20180823,172500,106026.236505
RIZ8 [SPBFUT],5,20180823,173000,106018.440169
RIZ8 [SPBFUT],5,20180823,173500,106011.337875
RIZ8 [SPBFUT],5,20180823,174000,106003.264058
RIZ8 [SPBFUT],5,20180823,174500,105995.807425
RIZ8 [SPBFUT],5,20180823,175000,105988.172583
RIZ8 [SPBFUT],5,20180823,175500,105980.202840
RIZ8 [SPBFUT],5,20180823,180000,105972.533252
RIZ8 [SPBFUT],5,20180823,180500,105961.999392
RIZ8 [SPBFUT],5,20180823,181000,105951.074496
RIZ8 [SPBFUT],5,20180823,181500,105938.971140
RIZ8 [SPBFUT],5,20180823,182000,105928.860696
RIZ8 [SPBFUT],5,20180823,182500,105918.513972
RIZ8 [SPBFUT],5,20180823,183000,105906.114652
RIZ8 [SPBFUT],5,20180823,183500,105894.129556
RIZ8 [SPBFUT],5,20180823,184000,105881.764895
RIZ8 [SPBFUT],5,20180823,190500,105868.312208
RIZ8 [SPBFUT],5,20180823,191000,105854.728712
RIZ8 [SPBFUT],5,20180823,191500,105842.043110
RIZ8 [SPBFUT],5,20180823,192000,105831.513125
RIZ8 [SPBFUT],5,20180823,192500,105822.489306
