<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],5,20180822,125500,107080.000000,107130.000000,106950.000000,107040.000000,1615.000000
RIZ8 [SPBFUT],5,20180822,130000,107030.000000,107030.000000,106860.000000,106980.000000,1591.000000
RIZ8 [SPBFUT],5,20180822,130500,106980.000000,107260.000000,106960.000000,107190.000000,3260.000000
RIZ8 [SPBFUT],5,20180822,131000,107180.000000,107250.000000,107140.000000,107140.000000,911.000000
RIZ8 [SPBFUT],5,20180822,131500,107150.000000,107240.000000,107120.000000,107220.000000,1325.000000
RIZ8 [SPBFUT],5,20180822,132000,107230.000000,107230.000000,107080.000000,107080.000000,948.000000
RIZ8 [SPBFUT],5,20180822,132500,107100.000000,107170.000000,107030.000000,107080.000000,982.000000
RIZ8 [SPBFUT],5,20180822,133000,107080.000000,107330.000000,107070.000000,107210.000000,2692.000000
RIZ8 [SPBFUT],5,20180822,133500,107230.000000,107280.000000,106900.000000,106910.000000,3617.000000
RIZ8 [SPBFUT],5,20180822,134000,106900.000000,107160.000000,106760.000000,107110.000000,5543.000000
RIZ8 [SPBFUT],5,20180822,134500,107110.000000,107160.000000,106950.000000,106960.000000,1592.000000
RIZ8 [SPBFUT],5,20180822,135000,106960.000000,107150.000000,106960.000000,107130.000000,1701.000000
RIZ8 [SPBFUT],5,20180822,135500,107130.000000,107220.000000,107110.000000,107140.000000,1230.000000
RIZ8 [SPBFUT],5,20180822,140500,107130.000000,107130.000000,106920.000000,106970.000000,1872.000000
RIZ8 [SPBFUT],5,20180822,141000,106950.000000,107020.000000,106810.000000,106850.000000,2542.000000
RIZ8 [SPBFUT],5,20180822,141500,106850.000000,106930.000000,106700.000000,106810.000000,4153.000000
RIZ8 [SPBFUT],5,20180822,142000,106810.000000,106880.000000,106730.000000,106880.000000,1759.000000
RIZ8 [SPBFUT],5,20180822,142500,106880.000000,106920.000000,106760.000000,106800.000000,2206.000000
RIZ8 [SPBFUT],5,20180822,143000,106810.000000,106850.000000,106560.000000,106700.000000,5426.000000
RIZ8 [SPBFUT],5,20180822,143500,106700.000000,106760.000000,106520.000000,106540.000000,2686.000000
RIZ8 [SPBFUT],5,20180822,144000,106540.000000,106570.000000,106050.000000,106110.000000,13086.000000
RIZ8 [SPBFUT],5,20180822,144500,106090.000000,106260.000000,106090.000000,106100.000000,3567.000000
RIZ8 [SPBFUT],5,20180822,145000,106110.000000,106110.000000,105910.000000,105950.000000,6475.000000
RIZ8 [SPBFUT],5,20180822,145500,105950.000000,106130.000000,105920.000000,105970.000000,3767.000000
RIZ8 [SPBFUT],5,20180822,150000,105980.000000,106070.000000,105840.000000,105880.000000,5290.000000
RIZ8 [SPBFUT],5,20180822,150500,105890.000000,106000.000000,105840.000000,105930.000000,3159.000000
RIZ8 [SPBFUT],5,20180822,151000,105960.000000,106120.000000,105900.000000,106100.000000,2396.000000
RIZ8 [SPBFUT],5,20180822,151500,106100.000000,106110.000000,105990.000000,106070.000000,2012.000000
RIZ8 [SPBFUT],5,20180822,152000,106080.000000,106180.000000,106040.000000,106170.000000,1677.000000
RIZ8 [SPBFUT],5,20180822,152500,106170.000000,106170.000000,106010.000000,106060.000000,1454.000000
RIZ8 [SPBFUT],5,20180822,153000,106060.000000,106130.000000,105990.000000,106120.000000,2129.000000
RIZ8 [SPBFUT],5,20180822,153500,106110.000000,106210.000000,106050.000000,106170.000000,1742.000000
RIZ8 [SPBFUT],5,20180822,154000,106160.000000,106180.000000,105760.000000,105820.000000,5249.000000
RIZ8 [SPBFUT],5,20180822,154500,105810.000000,105980.000000,105810.000000,105950.000000,1811.000000
RIZ8 [SPBFUT],5,20180822,155000,105940.000000,105950.000000,105670.000000,105690.000000,4057.000000
RIZ8 [SPBFUT],5,20180822,155500,105680.000000,105800.000000,105570.000000,105570.000000,4204.000000
RIZ8 [SPBFUT],5,20180822,160000,105570.000000,105880.000000,105530.000000,105820.000000,4416.000000
RIZ8 [SPBFUT],5,20180822,160500,105820.000000,105900.000000,105760.000000,105890.000000,1770.000000
RIZ8 [SPBFUT],5,20180822,161000,105870.000000,105890.000000,105750.000000,105780.000000,1835.000000
RIZ8 [SPBFUT],5,20180822,161500,105790.000000,105980.000000,105730.000000,105960.000000,2456.000000
RIZ8 [SPBFUT],5,20180822,162000,105960.000000,105990.000000,105870.000000,105980.000000,1409.000000
RIZ8 [SPBFUT],5,20180822,162500,105980.000000,106290.000000,105930.000000,106290.000000,3683.000000
RIZ8 [SPBFUT],5,20180822,163000,106280.000000,106460.000000,106240.000000,106270.000000,6885.000000
RIZ8 [SPBFUT],5,20180822,163500,106290.000000,106440.000000,106260.000000,106320.000000,2860.000000
RIZ8 [SPBFUT],5,20180822,164000,106320.000000,106380.000000,106160.000000,106190.000000,2996.000000
RIZ8 [SPBFUT],5,20180822,164500,106170.000000,106230.000000,106030.000000,106090.000000,4054.000000
RIZ8 [SPBFUT],5,20180822,165000,106070.000000,106250.000000,106020.000000,106190.000000,2504.000000
RIZ8 [SPBFUT],5,20180822,165500,106200.000000,106350.000000,106200.000000,106300.000000,2456.000000
RIZ8 [SPBFUT],5,20180822,170000,106310.000000,106400.000000,106210.000000,106250.000000,2454.000000
RIZ8 [SPBFUT],5,20180822,170500,106240.000000,106300.000000,106150.000000,106170.000000,1819.000000
RIZ8 [SPBFUT],5,20180822,171000,106170.000000,106290.000000,106130.000000,106190.000000,2125.000000
RIZ8 [SPBFUT],5,20180822,171500,106190.000000,106360.000000,106190.000000,106280.000000,2125.000000
RIZ8 [SPBFUT],5,20180822,172000,106290.000000,106390.000000,106240.000000,106270.000000,1689.000000
RIZ8 [SPBFUT],5,20180822,172500,106270.000000,106350.000000,106240.000000,106240.000000,1269.000000
RIZ8 [SPBFUT],5,20180822,173000,106240.000000,106400.000000,106080.000000,106170.000000,5120.000000
RIZ8 [SPBFUT],5,20180822,173500,106160.000000,106590.000000,106130.000000,106460.000000,6864.000000
RIZ8 [SPBFUT],5,20180822,174000,106460.000000,106770.000000,106360.000000,106730.000000,6951.000000
RIZ8 [SPBFUT],5,20180822,174500,106730.000000,106740.000000,106590.000000,106690.000000,3795.000000
RIZ8 [SPBFUT],5,20180822,175000,106690.000000,106740.000000,106600.000000,106670.000000,2090.000000
RIZ8 [SPBFUT],5,20180822,175500,106680.000000,106680.000000,106530.000000,106570.000000,2289.000000
RIZ8 [SPBFUT],5,20180822,180000,106570.000000,106730.000000,106420.000000,106470.000000,4308.000000
RIZ8 [SPBFUT],5,20180822,180500,106470.000000,106530.000000,106340.000000,106360.000000,2265.000000
RIZ8 [SPBFUT],5,20180822,181000,106350.000000,106490.000000,106270.000000,106430.000000,2604.000000
RIZ8 [SPBFUT],5,20180822,181500,106440.000000,106530.000000,106300.000000,106390.000000,2520.000000
RIZ8 [SPBFUT],5,20180822,182000,106390.000000,106420.000000,106340.000000,106390.000000,1329.000000
RIZ8 [SPBFUT],5,20180822,182500,106390.000000,106410.000000,106180.000000,106200.000000,2135.000000
RIZ8 [SPBFUT],5,20180822,183000,106210.000000,106370.000000,106190.000000,106360.000000,2358.000000
RIZ8 [SPBFUT],5,20180822,183500,106370.000000,106600.000000,106360.000000,106550.000000,3555.000000
RIZ8 [SPBFUT],5,20180822,184000,106560.000000,106570.000000,106450.000000,106450.000000,1653.000000
RIZ8 [SPBFUT],5,20180822,190000,106520.000000,106700.000000,106360.000000,106530.000000,2162.000000
RIZ8 [SPBFUT],5,20180822,190500,106510.000000,106540.000000,105840.000000,106110.000000,4928.000000
RIZ8 [SPBFUT],5,20180822,191000,106110.000000,106170.000000,105860.000000,105880.000000,4769.000000
RIZ8 [SPBFUT],5,20180822,191500,105900.000000,105960.000000,105760.000000,105840.000000,3349.000000
RIZ8 [SPBFUT],5,20180822,192000,105840.000000,105850.000000,105610.000000,105820.000000,4229.000000
RIZ8 [SPBFUT],5,20180822,192500,105830.000000,105860.000000,105620.000000,105640.000000,2913.000000
RIZ8 [SPBFUT],5,20180822,193000,105650.000000,105800.000000,105620.000000,105690.000000,2539.000000
RIZ8 [SPBFUT],5,20180822,193500,105680.000000,105710.000000,105050.000000,105270.000000,12364.000000
RIZ8 [SPBFUT],5,20180822,194000,105280.000000,105550.000000,105230.000000,105520.000000,3634.000000
RIZ8 [SPBFUT],5,20180822,194500,105510.000000,105680.000000,105400.000000,105400.000000,3215.000000
RIZ8 [SPBFUT],5,20180822,195000,105410.000000,105670.000000,105390.000000,105600.000000,3273.000000
RIZ8 [SPBFUT],5,20180822,195500,105580.000000,105650.000000,105500.000000,105640.000000,1099.000000
RIZ8 [SPBFUT],5,20180822,200000,105630.000000,105780.000000,105590.000000,105750.000000,3219.000000
RIZ8 [SPBFUT],5,20180822,200500,105740.000000,105760.000000,105610.000000,105690.000000,1738.000000
RIZ8 [SPBFUT],5,20180822,201000,105680.000000,105980.000000,105660.000000,105910.000000,2605.000000
RIZ8 [SPBFUT],5,20180822,201500,105920.000000,105970.000000,105830.000000,105870.000000,1402.000000
RIZ8 [SPBFUT],5,20180822,202000,105890.000000,105930.000000,105850.000000,105920.000000,936.000000
RIZ8 [SPBFUT],5,20180822,202500,105920.000000,105960.000000,105740.000000,105750.000000,1383.000000
RIZ8 [SPBFUT],5,20180822,203000,105750.000000,105830.000000,105670.000000,105800.000000,1403.000000
RIZ8 [SPBFUT],5,20180822,203500,105810.000000,105840.000000,105760.000000,105800.000000,465.000000
RIZ8 [SPBFUT],5,20180822,204000,105800.000000,105860.000000,105730.000000,105780.000000,576.000000
RIZ8 [SPBFUT],5,20180822,204500,105790.000000,105800.000000,105550.000000,105600.000000,1797.000000
